Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2018,Incremento20172018,Floresta2018,Nuvem2018,NaoObservado2018,NaoFloresta2018,Hidrografia2018,Soma 
 1,-6.31664,-54.26280,S 6 18 59.90,O 54 15 46.08,Altamira,1500602,PA,159540,9161.9,435.0,140234.0,4715.2,0.0,3760.6,1668.3,100
 2,-7.46114,-52.46225,S 7 27 40.10,O 52 27 44.10,São Félix do Xingu,1507300,PA,84253,18733.9,293.7,58861.1,1931.0,0.0,3788.0,939.0,100
 3,-7.90803,-55.59552,S 7 54 28.91,O 55 35 43.87,Novo Progresso,1505031,PA,38183,6289.1,194.4,28270.0,91.9,0.0,3457.3,74.7,100
 4,-4.52485,-50.19409,S 4 31 29.46,O 50 11 38.72,Novo Repartimento,1505064,PA,15432,8126.7,172.6,6097.3,38.9,0.0,1.0,1168.1,100
 5,-3.69969,-50.60258,S 3 41 58.88,O 50 36 9.29,Pacajá,1505486,PA,11851,5926.6,138.0,4547.9,1376.5,0.0,0.0,0.0,100
 6,-2.62095,-50.99664,S 2 37 15.42,O 50 59 47.90,Portel,1505809,PA,25425,2175.9,99.8,12973.9,9043.4,0.0,385.9,845.9,100
 7,-6.03172,-55.96896,S 6 1 54.19,O 55 58 8.26,Itaituba,1503606,PA,62095,5664.9,98.6,52637.0,2522.0,0.0,460.8,810.3,99
 8,-3.91426,-54.44242,S 3 54 51.34,O 54 26 32.71,Placas,1505650,PA,7173,2283.0,92.9,4889.8,0.0,0.0,0.1,0.1,100
 9,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,3488.2,84.4,7285.3,20.3,0.0,0.0,0.2,100
 10,-3.16475,-53.21731,S 3 9 53.10,O 53 13 2.32,Medicilândia,1504455,PA,8272,2254.4,63.7,5492.6,524.2,0.0,0.0,0.8,100
 11,-3.94708,-51.35268,S 3 56 49.49,O 51 21 9.65,Anapu,1500859,PA,11910,2601.9,60.2,6970.1,2157.7,0.0,6.8,173.5,100
 12,-5.10620,-55.93385,S 5 6 22.32,O 55 56 1.86,Trairão,1508050,PA,11997,1463.4,56.2,9117.7,1312.8,0.0,1.1,102.0,100
 13,-7.47718,-57.60432,S 7 28 37.85,O 57 36 15.55,Jacareacanga,1503754,PA,53397,1600.0,52.6,45407.9,466.4,0.0,5213.2,709.5,100
 14,-4.19980,-55.32309,S 4 11 59.28,O 55 19 23.12,Rurópolis,1506195,PA,7025,2053.4,52.3,4904.2,19.6,0.0,0.0,47.8,100
 15,-3.55820,-51.73873,S 3 33 29.52,O 51 44 19.43,Senador José Porfírio,1507805,PA,14389,1092.3,52.1,10419.5,2405.0,0.0,84.9,387.3,99
 16,-5.52503,-49.94418,S 5 31 30.11,O 49 56 39.05,Marabá,1504208,PA,15161,8726.8,51.5,6194.8,117.2,0.0,36.2,86.0,99
 17,-2.81346,-55.58935,S 2 48 48.46,O 55 35 21.66,Santarém,1506807,PA,22890,4804.5,38.9,10879.2,2655.0,0.0,663.5,3887.8,100
 18,-2.16678,-52.59636,S 2 10 0.41,O 52 35 46.90,Porto de Moz,1505908,PA,17427,1116.2,36.1,10716.5,1004.9,0.0,3135.6,1453.8,100
 19,-2.53518,-49.05922,S 2 32 6.65,O 49 3 33.19,Moju,1504703,PA,9129,4430.4,34.7,4371.8,80.8,0.0,190.4,55.6,100
 20,-5.07669,-49.89878,S 5 4 36.08,O 49 53 55.61,Itupiranga,1503705,PA,7901,4913.4,32.9,2821.5,48.6,0.0,5.6,111.9,100
 21,-8.50875,-51.37212,S 8 30 31.50,O 51 22 19.63,Cumaru do Norte,1502764,PA,17105,7367.8,30.1,8301.2,0.0,0.0,1436.0,0.0,100
 22,-1.91814,-53.45330,S 1 55 5.30,O 53 27 11.88,Prainha,1506005,PA,14785,1906.8,27.2,8031.9,330.8,0.0,2964.4,1551.1,99
 23,-4.48141,-48.46332,S 4 28 53.08,O 48 27 47.95,Rondon do Pará,1506187,PA,8286,5597.2,25.0,2678.8,10.0,0.0,0.0,0.0,100
 24,0.07317,-55.75937,N 0 4 23.41,O 55 45 33.73,Óbidos,1505106,PA,28031,1944.3,24.1,18486.1,1653.6,0.0,4595.5,1351.5,100
 25,-4.01828,-48.73253,S 4 1 5.81,O 48 43 57.11,Goianésia do Pará,1503093,PA,7048,3907.6,22.0,2629.3,29.8,0.0,0.0,481.3,100
 26,-3.76278,-56.01333,S 3 45 46.01,O 56 0 47.99,Aveiro,1501006,PA,17089,1318.8,21.9,13555.9,1476.9,0.0,18.4,719.0,100
 27,-0.30798,-55.15106,S 0 18 28.73,O 55 9 3.82,Alenquer,1500404,PA,22286,1488.9,20.6,14296.3,3434.8,0.0,2476.4,589.6,100
 28,-3.30359,-52.60961,S 3 18 12.92,O 52 36 34.60,Brasil Novo,1501725,PA,6368,2690.2,19.8,3306.2,366.6,0.0,0.1,4.9,100
 29,0.40528,-54.00657,N 0 24 19.01,O 54 0 23.65,Almeirim,1500503,PA,72964,1869.6,19.6,58263.7,9084.6,0.0,2715.5,1030.6,99
 30,-2.01070,-46.41077,S 2 0 38.52,O 46 24 38.77,Cachoeira do Piriá,1501956,PA,2465,1496.5,19.1,639.2,320.9,0.0,0.0,8.4,100
 31,-3.12356,-47.40354,S 3 7 24.82,O 47 24 12.74,Paragominas,1505502,PA,19465,8791.7,18.4,6016.6,4613.6,0.0,7.1,36.0,100
 32,-2.03379,-48.31904,S 2 2 1.64,O 48 19 8.54,Acará,1500206,PA,4361,2403.0,17.9,1817.8,26.4,0.0,43.3,70.5,100
 33,-8.64175,-50.39224,S 8 38 30.30,O 50 23 32.06,Santa Maria das Barreiras,1506583,PA,10351,5955.8,17.8,1831.8,5.5,0.0,2508.9,49.0,99
 34,-3.79728,-49.80670,S 3 47 50.21,O 49 48 24.12,Tucuruí,1508100,PA,2095,832.9,17.2,779.3,0.0,0.0,4.7,478.1,100
 35,-2.66028,-48.25818,S 2 39 37.01,O 48 15 29.45,Tomé-Açu,1508001,PA,5169,3007.8,17.0,1910.1,250.6,0.0,0.1,0.4,100
 36,0.26778,-57.52249,N 0 16 4.01,O 57 31 20.96,Oriximiná,1505304,PA,107782,1566.6,15.2,90696.4,10113.8,0.0,3636.6,1768.6,99
 37,-1.02109,-54.28681,S 1 1 15.92,O 54 17 12.52,Monte Alegre,1504802,PA,19516,4327.9,14.5,8270.1,3978.9,0.0,1799.4,1139.7,100
 38,-2.90336,-48.78385,S 2 54 12.10,O 48 47 1.86,Tailândia,1507953,PA,4451,2285.7,14.3,1928.8,236.5,0.0,0.0,0.0,99
 39,-2.93713,-47.96702,S 2 56 13.67,O 47 58 1.27,Ipixuna do Pará,1503457,PA,5245,2786.5,13.1,1565.9,860.0,0.0,6.7,25.9,100
 40,-9.27666,-50.54546,S 9 16 35.98,O 50 32 43.66,Santana do Araguaia,1506708,PA,11609,7251.6,13.0,3484.1,0.0,0.0,808.4,64.9,100
 41,-4.20041,-47.82354,S 4 12 1.48,O 47 49 24.74,Dom Eliseu,1502939,PA,5296,3499.9,10.7,1401.1,395.0,0.0,0.0,0.0,100
 42,-3.16791,-49.75057,S 3 10 4.48,O 49 45 2.05,Baião,1501204,PA,3768,1623.4,10.4,1413.9,19.4,0.0,475.4,235.9,99
 43,-3.75686,-49.46757,S 3 45 24.70,O 49 28 3.25,Breu Branco,1501782,PA,3953,2831.1,9.8,858.1,0.0,0.0,0.9,262.9,100
 44,-7.48419,-51.51165,S 7 29 3.08,O 51 30 41.94,Ourilândia do Norte,1505437,PA,14357,1721.8,9.0,9462.2,0.0,0.0,3169.4,3.6,100
 45,-7.36998,-50.10481,S 7 22 11.93,O 50 6 17.32,Rio Maria,1506161,PA,4122,3414.7,7.7,571.2,0.0,0.0,128.6,7.5,100
 46,-5.02798,-48.77112,S 5 1 40.73,O 48 46 16.03,Bom Jesus do Tocantins,1501576,PA,2827,1782.3,7.5,908.3,27.2,0.0,70.0,39.2,100
 47,-3.80187,-47.54701,S 3 48 6.73,O 47 32 49.24,Ulianópolis,1508126,PA,5122,3546.4,6.6,744.9,830.7,0.0,0.0,0.0,100
 48,-1.78297,-55.10334,S 1 46 58.69,O 55 6 12.02,Curuá,1502855,PA,1430,357.5,5.5,302.2,30.6,0.0,272.6,467.1,99
 49,-2.64774,-56.23691,S 2 38 51.86,O 56 14 12.88,Juruti,1503903,PA,8308,1205.0,5.4,4438.9,921.8,0.0,633.3,1109.0,100
 50,-1.09331,-46.26696,S 1 5 35.92,O 46 16 1.06,Viseu,1508308,PA,4971,3484.0,4.9,862.1,492.2,0.0,45.4,87.3,100
 51,-6.76170,-50.32800,S 6 45 42.12,O 50 19 40.80,Água Azul do Norte,1500347,PA,7125,4664.4,4.7,2332.7,0.0,0.0,127.9,0.0,100
 52,-2.39441,-46.79100,S 2 23 39.88,O 46 47 27.60,Nova Esperança do Piriá,1504950,PA,2829,1571.8,4.7,947.9,309.3,0.0,0.0,0.0,100
 53,-3.19117,-51.87114,S 3 11 28.21,O 51 52 16.10,Vitória do Xingu,1508357,PA,3136,1996.2,4.5,709.0,281.3,0.0,0.1,149.4,99
 54,-5.44170,-48.67711,S 5 26 30.12,O 48 40 37.60,São João do Araguaia,1507508,PA,1288,940.3,4.2,155.8,2.1,0.0,73.7,116.1,99
 55,-6.12012,-49.26085,S 6 7 12.43,O 49 15 39.06,Eldorado dos Carajás,1502954,PA,2968,2754.8,4.1,207.2,6.0,0.0,0.0,0.0,100
 56,-6.55226,-48.99483,S 6 33 8.14,O 48 59 41.39,Piçarra,1505635,PA,3322,2928.6,4.0,312.3,17.2,0.0,0.0,63.9,100
 57,-2.26004,-47.70690,S 2 15 36.14,O 47 42 24.84,Aurora do Pará,1500958,PA,1824,1561.5,3.8,239.6,5.6,0.0,0.0,17.3,100
 58,-5.01264,-49.20524,S 5 0 45.50,O 49 12 18.86,Nova Ipixuna,1504976,PA,1569,1163.8,3.3,177.9,10.9,0.0,122.6,93.8,99
 59,-1.10869,-57.80093,S 1 6 31.28,O 57 48 3.35,Faro,1503002,PA,11794,249.7,3.3,11015.8,259.8,0.0,87.6,181.1,100
 60,-8.20672,-49.54786,S 8 12 24.19,O 49 32 52.30,Conceição do Araguaia,1502707,PA,5847,3092.3,3.2,715.8,47.0,0.0,1874.8,117.1,99
 61,-1.12099,-51.49156,S 1 7 15.56,O 51 29 29.62,Gurupá,1503101,PA,8550,118.8,3.0,4298.5,2318.3,0.0,517.1,1297.3,99
 62,-6.19825,-50.43010,S 6 11 53.70,O 50 25 48.36,Parauapebas,1505536,PA,6968,1327.2,2.9,5553.4,0.0,0.0,85.6,1.8,100
 63,-3.24702,-54.93686,S 3 14 49.27,O 54 56 12.70,Belterra,1501451,PA,4399,832.2,2.8,2961.3,0.0,0.0,0.0,605.5,100
