cod;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020
1500602;293.9;308.6;409.5;224.8;435.0;575.4;799.1
1507300;151.9;199.2;314.9;239.9;293.7;543.9;608.4
1505031;114.5;169.3;140.8;61.3;194.4;200.9;363.2
1503606;99.7;90.3;129.4;80.1;98.6;169.3;273.0
1505486;78.4;165.8;141.4;179.6;138.0;312.3;247.9
1505064;77.9;73.8;224.4;122.3;172.6;141.2;155.3
1505809;60.2;109.2;178.1;167.7;99.8;254.4;190.0
1505650;53.4;88.9;67.7;88.3;92.9;104.8;85.8
1503705;48.3;28.1;87.6;29.5;32.9;35.0;33.4
1508050;43.4;25.0;40.6;81.5;56.2;112.1;82.4
1504802;41.8;12.9;24.8;34.8;14.5;27.8;54.8
1504208;38.5;46.0;99.7;42.1;51.5;68.0;58.7
1506195;34.3;30.9;27.8;43.1;52.3;108.8;98.8
1500859;31.8;95.6;85.8;99.1;60.2;218.3;112.6
1501006;29.3;16.1;13.5;30.7;21.9;45.0;35.0
1507805;28.2;58.5;68.0;98.9;52.1;328.2;147.7
1502764;25.2;40.5;32.7;41.9;30.1;43.7;69.8
1504703;24.8;25.7;30.6;45.5;34.7;28.0;36.5
1503754;24.1;31.7;31.3;35.4;52.6;93.8;89.0
1506708;23.9;16.6;20.0;14.8;13.0;23.3;51.8
1500503;23.8;12.4;15.4;21.3;19.6;30.0;25.0
1503093;23.2;25.1;20.6;23.8;22.0;30.1;40.1
1505106;22.9;13.1;10.1;18.4;24.1;35.0;42.3
1506187;22.4;18.9;26.7;19.4;25.0;34.2;36.9
1505908;21.5;21.7;20.9;15.4;36.1;41.8;32.1
1506583;20.0;13.3;18.7;17.8;17.8;28.6;32.7
1505502;20.0;24.2;19.8;19.8;18.4;25.9;19.8
1506807;17.2;54.3;16.9;40.5;38.9;65.4;47.0
1508357;16.9;47.7;10.3;7.3;4.5;7.3;7.8
1504455;16.8;17.8;8.0;116.2;63.7;112.9;64.5
1508159;14.7;53.2;63.7;88.7;84.4;154.4;133.5
1500404;14.3;13.3;14.5;24.2;20.6;17.9;29.5
1500347;14.2;9.6;8.7;8.6;4.7;9.7;9.3
