system:index,forest_area,rd,.geo
0,14.802098,1.391386,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,14.802098,1.78616,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6.101161,2.2537882,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,17.777315,1.6969553,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,16.989353,2.6339,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,16.989353,2.1596088,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.875472,2.774901,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9.702675,2.6790988,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.702675,2.0757236,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7.5608983,1.583122,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,7.3040614,2.0482392,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.0134606,2.4037888,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,18.320843,2.2152221,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,18.377571,2.1382422,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,25.386475,2.1063623,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,24.465832,1.3687383,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,18.974718,1.3687383,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.077378,1.0222995,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,10.532395,1.1235971,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.880956,1.8049895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.0377383,2.2359447,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,10.039704,2.8634615,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.66743,2.7266946,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,10.828168,2.3539057,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,10.828168,1.9910343,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,13.492726,0.8442545,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,20.282839,2.1142385,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,10.582848,2.105108,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,9.89316,2.1711817,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,22.864138,1.9605961,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,25.386475,2.0322912,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,17.39052,2.1698065,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,7.5816174,1.1033422,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,6.09408,0.5147429,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,4.5595117,0.7795093,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,6.3958263,1.2155281,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,8.225972,1.8307151,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.6311846,2.2123857,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1.8477051,2.221399,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,6.470664,2.7819028,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,6.470664,2.9291034,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2.1662333,2.8894122,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2.1662333,2.5833936,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,14.912586,2.286792,"{""type"":""MultiPoint"",""coordinates"":[]}"
